kdrama_id,kdrama_name,recommended_title,recommended_id
f6bd13fcc445460a97435fc0462287b2,Dr. Romantic,D-Day,10b41e7bdf75454293f1bda3bff36102
f6bd13fcc445460a97435fc0462287b2,Dr. Romantic,Doctor John,953e7b3c75de45eb94e3aa320dd0a6df
f6bd13fcc445460a97435fc0462287b2,Dr. Romantic,Doctor Stranger,
504271bc35744ee899e28560fc441987,The Sound of Your Heart,Eulachacha Waikiki,4a4420d05e1247cbab32c425af7f02ce
504271bc35744ee899e28560fc441987,The Sound of Your Heart,The Boy Next Door,1b5a7481be7345268d7fb95af5255299
504271bc35744ee899e28560fc441987,The Sound of Your Heart,Pegasus Market,77b68386efb54f978f30f064a3b45a5c
504271bc35744ee899e28560fc441987,The Sound of Your Heart,The Lover,2dc531911bd1454288c468ed8de78f4e
504271bc35744ee899e28560fc441987,The Sound of Your Heart,Hanging On,2a278dc8a6f44a9dae4fd120bf5a2f31
504271bc35744ee899e28560fc441987,The Sound of Your Heart,Super Family,85f2bf4cb092454e9c74caa7bd071c67
74dddee2a30245a2bd56bdff65f7bd91,I'm Not a Girl Anymore,No Recommendation,
8f97594f17334d658f26389c28783473,Descendants of the Airport,No Recommendation,
33798dcb19e04a6d94c9642492f00136,Entourage,Sh**ting Stars,e9d858e217fc4a0c91b6d0789a0a8ab8
33798dcb19e04a6d94c9642492f00136,Entourage,The Lover,2dc531911bd1454288c468ed8de78f4e
fd02e4e1c3914023852934dde878e2ec,Forever Young 2,No Recommendation,
08404b49650d4bc695409396d4f0bf67,Momin's Room,Love Playlist,56835b05585f4a948ca12f679fb7dbf5
e556b61267044c3c8c4a5a857c983cc8,Bunny Bunny,No Recommendation,
c89ca555e66d4f2c8c4dafee5583471f,Positive Physique,Ex-Girlfriend Club,f942f80052cf46de912000f181ba5ddf
c89ca555e66d4f2c8c4dafee5583471f,Positive Physique,Drama Special Series Season 3: Adolescence Medley,
e69628bb9d414325b1de5c1aa4f7a071,Ugly Miss Young Ae Season 15,No Recommendation,
1e409a64220644e5880618fe7ae5f4b8,Always Springtime,No Recommendation,
e6cf075522fa43dfa96324f8ef44da76,My Wife’s Having an Affair This Week,My Mister,e5fc20fedfd74d17b8367125f98a28e9
e6cf075522fa43dfa96324f8ef44da76,My Wife’s Having an Affair This Week,Valid Love,
e6cf075522fa43dfa96324f8ef44da76,My Wife’s Having an Affair This Week,"Cheat On Me, if You Can",421c7fbf4b614e17b351d53be7a23dc9
e6cf075522fa43dfa96324f8ef44da76,My Wife’s Having an Affair This Week,On the Way to the Airport,fda81f5da1c341668ac00614bf2ebbca
e6cf075522fa43dfa96324f8ef44da76,My Wife’s Having an Affair This Week,Saikou no Rikon,
e6cf075522fa43dfa96324f8ef44da76,My Wife’s Having an Affair This Week,People You May Know,0a927cfe5cb5450c834063f4dc7d4dee
d25c506444d34cc9b5376e8124d85527,One More Time,Todome no Kiss,
d25c506444d34cc9b5376e8124d85527,One More Time,"Breakup Probation, A Week",0ab6615beda745e8a6b77c300fc870d6
d25c506444d34cc9b5376e8124d85527,One More Time,Love in Time,957be9f7508344b38e50a3324ada5057
d25c506444d34cc9b5376e8124d85527,One More Time,Heartstrings,
d25c506444d34cc9b5376e8124d85527,One More Time,Let Me Off the Earth,4a2e3d8c5bef496b9b78c2a4fb5ab8c9
d25c506444d34cc9b5376e8124d85527,One More Time,Time Traveller,
4971fe8c5b8c43d1b8b77190cea84035,Sweet Stranger and Me,Healer,
4971fe8c5b8c43d1b8b77190cea84035,Sweet Stranger and Me,Hometown Cha-Cha-Cha,08a4b2f383a742a79bf0a0f5983108e0
4971fe8c5b8c43d1b8b77190cea84035,Sweet Stranger and Me,My Young Auntie,
4971fe8c5b8c43d1b8b77190cea84035,Sweet Stranger and Me,Her Granddaughter,
30a26b2ad097490d8360382df7a4c228,Clocking Out,No Recommendation,
