kdrama_id,drama_name,year,tot_eps,duration,aired_on,org_net
2b7d38ace2f34aa5a3d9cf527a2895ec,Delivery Man,2023,12,4200,"Wednesday, Thursday",ENA Genie TV ViuTV
43ba2a24cdfb4432813ae5b62bc0afcf,Island Part 2,2023,6,2700,Friday,Amazon Prime TVING
146e8db529d94c74b0d46d5c61205c87,Call It Love,2023,16,4200,Wednesday,Disney+ Hulu
eb828795b827408ab3eb9ae2a72cb507,Taxi Driver Season 2,2023,16,4200,"Friday, Saturday",SBS ViuTV
a7edc4aac88b46c28b03f1e1e15ce750,Big Bet Season 2,2023,8,3600,Wednesday,Disney+ Hulu
18811f65d69b4421b480ce172a270bbc,The Heavenly Idol,2023,12,4200,"Wednesday, Thursday",TVING tvN
a1d22c0ed9d7434cb019808fbb84931d,Love to Hate You,2023,10,3120,Friday,Netflix
074678b51cc146099fa77f8019c6f932,Something Unique,2023,4,660,not found,not found
074a402ced184a2d944b0be2915e9c6b,Our Blooming Youth,2023,20,4800,"Monday, Tuesday",TVING tvN
9d36063c5c4c43f88286381e3da0c2e0,Decoy: Part 1,2023,6,3960,Friday,not found
e54c33c0a6ee4710bffba974009a3b87,Kokdu: Season of Deity,2023,16,4800,"Friday, Saturday",MBC
b7e91068ff774313b7830c4ecd788e56,Our D-Day,2023,6,1020,"Thursday, Friday",not found
13e0534998514029bd39c66254b65035,Individual Circumstances,2023,8,1020,Thursday,not found
d2709c06e0734246a530a8dce3b672d7,Strangers Again,2023,12,4200,"Wednesday, Thursday",ENA Genie TV Viki
a6f6db048d0643e8a60dcaf048a0f6a0,We Only See Each Other at Night,2023,12,480,not found,not found
247b9e25c4dc485b872874728c58de78,Crash Course in Romance,2023,16,4500,"Saturday, Sunday",Netflix tvN
6ecc3c31bbbc4f9d81b0e32f99aadcd0,"Poong, the Joseon Psychiatrist Season 2",2023,10,4500,"Wednesday, Thursday",tvN
a416da71b0784251ab04bb709df663d3,Agency,2023,16,3900,"Saturday, Sunday",jTBC
b8c250f350394f50a59123da00c8da59,Payback: Money and Power,2023,12,4200,"Friday, Saturday",Amazon Prime SBS
c9c05261383941d680b63c1fffb1e990,Brain Works,2023,16,4200,"Monday, Tuesday",KBS2
222e99e106ea4c77a813cada533ba427,The Glory,2022,8,3000,Friday,Netflix
b5315a2fbebc4e7b8452bb120b803509,Island,2022,6,3300,Friday,Amazon Prime TVING
381409f415584820a837fce6a34bdab3,Hit the Spot,2022,8,2100,Friday,not found
95e4c83d559b4912936bd1ad5fb3dd0a,The Fabulous,2022,8,3240,Friday,Netflix
03a6fb0ecaed4b8cb1ab4e6afe7d371d,The Interest of Love,2022,16,4200,"Wednesday, Thursday",jTBC Netflix
6b6da65381a7445db16949e0112202a3,The New Employee,2022,7,1200,Wednesday,not found
4c2c09a237e04a379d6c0087df3b11b6,Big Bet,2022,8,3600,Wednesday,Disney+ Hulu
c8fbe1db8fea4a609efc900be0cd0301,Trolley,2022,16,3600,"Monday, Tuesday",Netflix SBS
71b861e46a0d4c9c9f610ab8aeee0e62,Missing: The Other Side Season 2,2022,14,3600,"Monday, Tuesday",tvN
f7a6fc58e1bd4fd098c6f39af8352538,Red Balloon,2022,20,5100,"Saturday, Sunday",TV Chosun
ca4f025727da486aabc3857699b2c7f3,The King of the Desert,2022,6,1560,Friday,not found
11977741f6ad4abe849d42434a4360f9,Turned on by You Season 2,2022,7,600,not found,not found
a4502b6e34cd4d3bbce991f1c569ec7e,BReal Bro&Sis,2022,8,600,Thursday,not found
c4a484ae19864bf08150aa68e5511db1,Anonymous High School Girl,2022,5,480,Saturday,not found
d6f2eb3a6fb7426587a69d9ea607ec68,The Director Who Buys Me Dinner,2022,10,900,Thursday,iQiyi
55a30d5405e6468888731b884fa9444c,We're Not Trash,2022,8,720,"Monday, Wednesday",not found
eb312ec94d314c86a2b2b2f1e2b2e159,Alchemy of Souls Season 2: Light and Shadow,2022,10,4860,"Saturday, Sunday",Netflix tvN
c97de85d400244238b90106e6dac14ca,Love in Blue,2022,8,not found,Friday,not found
ed7dba5b86474d5b862b16498745852b,Money Heist: Korea - Joint Economic Area - Part 2,2022,6,3600,Friday,Netflix
acd737f1fcc44eb6bb8e0ffe1455716b,The Forbidden Marriage,2022,12,4200,"Friday, Saturday",MBC
140865f39119437c8d167019630c9357,"Work Later, Drink Now Season 2",2022,12,2280,Friday,TVING
9f18660af3e84496b65832d2e8b36c5b,Unlock My Boss,2022,12,3600,"Wednesday, Thursday",ENA
b8e916f210824b6c99ba2751ba269bdd,Connect,2019,5,not found,Saturday,OBS
de4dda27c21048079261b84b87d29e6d,2PM Campus,2022,4,1200,not found,not found
b157d1e4291043acb39f61cd6b2c5493,Loan to You,2022,3,360,Saturday,not found
dabba72913bb4365a129e1702475c9af,Riding Dongdang,2022,6,780,Thursday,not found
85f8a1b2113d41cd9504fed4188a8b0f,Oh! My Assistant,2022,8,900,"Thursday, Friday",not found
991e11bb65964d9398e6a6c2b097b45d,Recipe for Farewell,2022,12,1920,Thursday,not found
b48ff6820dbb4d93a9d0473c01f146da,Themselves,2022,3,not found,Monday,not found
975d66a53c1f42ed934c339341430d10,Only You,2022,2,840,not found,not found
345d9671f9994612b840235f80fbaede,Happy Ending Romance,2022,8,1800,Thursday,not found
c123bdee96414ea88041f11b0f046000,Why Opposites Attract,2022,8,480,not found,not found
96665ebeadb34eb08e026a5b5bcf5c81,Out of this World Girlfriend,2022,2,720,"Monday, Wednesday",not found
fee91be5beab46cc9e1a814f7feafc33,Summer Strike,2022,12,3000,Monday,ENA Genie TV
28ead17fd9c840459f25987f97212026,New Love Playlist,2022,12,900,"Wednesday, Friday",Viki
3b079f4c99ae4b22bffc4f8cb5c9443e,"Fanletter, Please",2022,4,3720,"Friday, Saturday",MBC
204b00ef75ab42e18d0a385146394e3a,Weak Hero Class 1,2022,8,2400,Friday,not found
3480df3c84b54e9ca6f820f9b7b46fc4,Reborn Rich,2022,16,4500,"Friday, Saturday, Sunday",jTBC ViuTV
7ac7793b431849d7bbef43d8c08b3181,Somebody,2022,8,3300,Friday,Netflix
8a3b5ff717be4d5aa6dde12c6716a299,Phantom School,2022,8,1800,Wednesday,Viki
0f94e6a127d546e19188c6f885c3dc78,The First Responders,2022,12,3600,"Friday, Saturday",DRAMAcube ENA SBS SBS Plus
c74f9e29686e4c23aadae288655e28ff,Revenge of Others,2022,12,3720,Wednesday,Disney+ Hulu
83543621097c4be59a42eeff293156e0,Chart Running Scholar,2022,6,840,Tuesday,not found
9e069b7c5e984560b5963edd573e3669,The Witch Store Reopening,2022,10,1320,Tuesday,vLive
ca0241be393e465f8a9d101cf30a1813,Behind Every Star,2022,12,4200,"Monday, Tuesday",Netflix tvN
18bea301b0904467bfbca9ebb3104b87,Disarming Romance,2022,3,540,Thursday,not found
45b9c677e6254f11ae5e185ef42a1e4d,Our Relationship Ended Before It Began,2022,4,480,Wednesday,not found
7dbc6cbd339f4e3c91f686436b97fe70,Curtain Call,2022,16,3600,"Monday, Tuesday",KBS2 Viki
630c09dade9b4dcea55219062eb506cd,Idol in My Living Room,2022,10,600,"Wednesday, Sunday",not found
6ea177d1ac71409783043ccb7a28f13a,Bargain,2022,6,2160,not found,TVING
8fc538cad556484cb3991593b4de5130,Midnight Horror: Six Nights,2022,6,1500,Thursday,not found
dccdc72a8f634dcb852888d5a56ded83,Shadow Detective,2022,8,3420,Wednesday,Disney+ Hulu
c8f9eaa30fbc4270a9c43c98716c1d34,Choco Milk Shake,2022,11,900,"Tuesday, Thursday",not found
95e5e03eb80348a3ad5e873c302c01a6,She Makes My Heart Flutter,2022,5,780,"Thursday, Sunday",not found
7f973795a2cb432d8522048b5b0a6443,Fall for You,2022,20,1560,"Thursday, Friday",EBS
8e419796332c41f8bab10885a9553ceb,May I Help You,2022,16,4200,"Wednesday, Thursday",Amazon Prime MBC
59801df552954651ac1d8e4fdcb7d919,Love Is Right,2022,4,240,Monday,not found
1ee043d15f8e4adf818ccf3c95340165,Under the Queen's Umbrella,2022,16,4200,"Saturday, Sunday",Netflix tvN
0a31702b2da244bf855119c196f9597b,Take 1,2022,7,3300,Friday,Netflix
9cfc4deaaa9e47398853207cfbda416f,Yonder,2022,6,1800,Friday,TVING
1c135017a2ca403fb696b333753a71e1,Roommates of Poongduck 304,2022,8,1500,Thursday,not found
ad2f59289c4741989818238385199dd1,The Witch's Game,2022,119,2100,"Monday, Tuesday, Wednesday, Thursday, Friday",MBC
c8d621c97dbe4e9ca19a24652b82745f,Vengeance of the Bride,2022,102,2400,"Monday, Tuesday, Wednesday, Thursday, Friday",KBS2
1e42cf9e60e24a34aa3aeabab791d9cd,Glitch,2022,10,3180,Friday,Netflix
c726ced6653f4760a231a5c9e6b7173a,Love Is for Suckers,2022,16,3600,"Wednesday, Thursday",ENA Viki
755c57bfd06945e28d8500ca64407499,Bad Prosecutor,2022,12,3660,"Wednesday, Thursday",KBS2
7ff292768b404b2790932bc07d8f5321,"Now, Parliament Is 36.5",2022,10,600,"Tuesday, Wednesday",not found
6d4ee2d37d9543a78268caaeb56d5f9e,Have a Good Neighbor,2022,3,540,not found,not found
6a01b0cc41514897a2e081e9553a72a4,The Love in Your Eyes,2022,123,1620,"Monday, Tuesday, Wednesday, Thursday, Friday",KBS1
c9c1daba2db14348b0c28ec4cdc9dd50,Cheer Up,2022,16,4200,"Monday, Tuesday",SBS
ef7df45342004eb088e15f03bc73e10e,Gaus Electronics,2022,12,3000,"Friday, Saturday",ENA Genie TV
e6b47cae5e694d9cad50b2f9bdcc2133,The Witch's Eye,2022,5,780,"Tuesday, Thursday",Naver TV Cast
8064520699c04a988e126b1ca80d2c30,Three Bold Siblings,2022,51,4200,"Saturday, Sunday",KBS2
